,number,subject,date,view,link
0,,"""이 연애는 불가항력.6회.230907
M 최고관리자 1114 09.08",,,https://a73.koreanz.xyz/bbs/board.php?bo_table=tvdrama&wr_id=17503&page=2
1,,"""오랫동안 당신을 기다렸습니다.14회.230907
M 최고관리자 1314 09.08",,,https://a73.koreanz.xyz/bbs/board.php?bo_table=tvdrama&wr_id=17502&page=2
2,,"""국민사형투표.5회.230907
M 최고관리자 2354 09.08",,,https://a73.koreanz.xyz/bbs/board.php?bo_table=tvdrama&wr_id=17501&page=2
3,,"""금이야 옥이야.115회.230907
M 최고관리자 349 09.08",,,https://a73.koreanz.xyz/bbs/board.php?bo_table=tvdrama&wr_id=17500&page=2
4,,"""우아한 제국.23회.230907
M 최고관리자 291 09.08",,,https://a73.koreanz.xyz/bbs/board.php?bo_table=tvdrama&wr_id=17499&page=2
5,,"준과 준.8회.230907
M 최고관리자 522 09.08",,,https://a73.koreanz.xyz/bbs/board.php?bo_table=tvdrama&wr_id=17496&page=2
6,,"1
이 연애는 불가항력.6회.230907
M 최고관리자 1997 09.08",,,https://a73.koreanz.xyz/bbs/board.php?bo_table=tvdrama&wr_id=17495&page=2
7,,"오랫동안 당신을 기다렸습니다.14회.230907
M 최고관리자 2553 09.08",,,https://a73.koreanz.xyz/bbs/board.php?bo_table=tvdrama&wr_id=17494&page=2
8,,"국민사형투표.5회.230907
M 최고관리자 3629 09.07",,,https://a73.koreanz.xyz/bbs/board.php?bo_table=tvdrama&wr_id=17493&page=2
9,,"금이야 옥이야.115회.230907
M 최고관리자 1301 09.07",,,https://a73.koreanz.xyz/bbs/board.php?bo_table=tvdrama&wr_id=17492&page=2
10,,"우아한 제국.23회.230907
M 최고관리자 872 09.07",,,https://a73.koreanz.xyz/bbs/board.php?bo_table=tvdrama&wr_id=17491&page=2
11,,"하늘의 인연.101회.230907
M 최고관리자 1268 09.07",,,https://a73.koreanz.xyz/bbs/board.php?bo_table=tvdrama&wr_id=17490&page=2
12,,"""하늘의 인연.101회.230907
M 최고관리자 469 09.07",,,https://a73.koreanz.xyz/bbs/board.php?bo_table=tvdrama&wr_id=17489&page=2
13,,"""오랫동안 당신을 기다렸습니다.13회.230906
M 최고관리자 1054 09.07",,,https://a73.koreanz.xyz/bbs/board.php?bo_table=tvdrama&wr_id=17488&page=2
14,,"""이 연애는 불가항력.5회.230906
M 최고관리자 915 09.07",,,https://a73.koreanz.xyz/bbs/board.php?bo_table=tvdrama&wr_id=17487&page=2
15,,"""금이야 옥이야.114회.230906
M 최고관리자 178 09.07",,,https://a73.koreanz.xyz/bbs/board.php?bo_table=tvdrama&wr_id=17486&page=2
16,,"""우아한 제국.22회.230906
M 최고관리자 179 09.07",,,https://a73.koreanz.xyz/bbs/board.php?bo_table=tvdrama&wr_id=17485&page=2
17,,"""하늘의 인연.100회.230906
M 최고관리자 165 09.07",,,https://a73.koreanz.xyz/bbs/board.php?bo_table=tvdrama&wr_id=17484&page=2
18,,"1
""무빙.15회.230906
M 최고관리자 4769 09.07",,,https://a73.koreanz.xyz/bbs/board.php?bo_table=tvdrama&wr_id=17483&page=2
19,,"""무빙.14회.230906
M 최고관리자 4163 09.07",,,https://a73.koreanz.xyz/bbs/board.php?bo_table=tvdrama&wr_id=17482&page=2
20,,"""신병 시즌2.4회.230905
M 최고관리자 1180 09.07",,,https://a73.koreanz.xyz/bbs/board.php?bo_table=tvdrama&wr_id=17481&page=3
21,,"오랫동안 당신을 기다렸습니다.13회.230906
M 최고관리자 3759 09.07",,,https://a73.koreanz.xyz/bbs/board.php?bo_table=tvdrama&wr_id=17476&page=3
22,,"1
이 연애는 불가항력.5회.230906
M 최고관리자 2905 09.07",,,https://a73.koreanz.xyz/bbs/board.php?bo_table=tvdrama&wr_id=17475&page=3
23,,"금이야 옥이야.114회.230906
M 최고관리자 1558 09.06",,,https://a73.koreanz.xyz/bbs/board.php?bo_table=tvdrama&wr_id=17474&page=3
24,,"우아한 제국.22회.230906
M 최고관리자 1078 09.06",,,https://a73.koreanz.xyz/bbs/board.php?bo_table=tvdrama&wr_id=17473&page=3
25,,"하늘의 인연.100회.230906
M 최고관리자 1609 09.06",,,https://a73.koreanz.xyz/bbs/board.php?bo_table=tvdrama&wr_id=17472&page=3
26,,"1
무빙.15회.230906
M 최고관리자 13878 09.06",,,https://a73.koreanz.xyz/bbs/board.php?bo_table=tvdrama&wr_id=17471&page=3
27,,"1
무빙.14회.230906
M 최고관리자 18005 09.06",,,https://a73.koreanz.xyz/bbs/board.php?bo_table=tvdrama&wr_id=17470&page=3
28,,"신병 시즌2.4회.230905
M 최고관리자 7284 09.06",,,https://a73.koreanz.xyz/bbs/board.php?bo_table=tvdrama&wr_id=17469&page=3
29,,"""순정복서.6회.230905
M 최고관리자 1913 09.06",,,https://a73.koreanz.xyz/bbs/board.php?bo_table=tvdrama&wr_id=17468&page=3
30,,"""소용없어 거짓말.12회.230905
M 최고관리자 3033 09.06",,,https://a73.koreanz.xyz/bbs/board.php?bo_table=tvdrama&wr_id=17467&page=3
31,,"""금이야 옥이야.113회.230905
M 최고관리자 955 09.06",,,https://a73.koreanz.xyz/bbs/board.php?bo_table=tvdrama&wr_id=17466&page=3
32,,"순정복서.6회.230905
M 최고관리자 1380 09.05",,,https://a73.koreanz.xyz/bbs/board.php?bo_table=tvdrama&wr_id=17465&page=3
33,,"소용없어 거짓말.12회.230905
M 최고관리자 2323 09.05",,,https://a73.koreanz.xyz/bbs/board.php?bo_table=tvdrama&wr_id=17464&page=3
34,,"""하늘의 인연.99회.230905
M 최고관리자 976 09.05",,,https://a73.koreanz.xyz/bbs/board.php?bo_table=tvdrama&wr_id=17463&page=3
35,,"금이야 옥이야.113회.230905
M 최고관리자 1178 09.05",,,https://a73.koreanz.xyz/bbs/board.php?bo_table=tvdrama&wr_id=17462&page=3
36,,"우아한 제국.21회.230905
M 최고관리자 1265 09.05",,,https://a73.koreanz.xyz/bbs/board.php?bo_table=tvdrama&wr_id=17461&page=3
37,,"하늘의 인연.99회.230905
M 최고관리자 1241 09.05",,,https://a73.koreanz.xyz/bbs/board.php?bo_table=tvdrama&wr_id=17460&page=3
38,,"신병 시즌2.3회.230905
M 최고관리자 6890 09.05",,,https://a73.koreanz.xyz/bbs/board.php?bo_table=tvdrama&wr_id=17459&page=3
39,,"""신병 시즌2.3회.230905
M 최고관리자 3850 09.05",,,https://a73.koreanz.xyz/bbs/board.php?bo_table=tvdrama&wr_id=17458&page=3
40,,"""OPENing 2023 - 나를 쏘다 2부.8회.230903
M 최고관리자 579 09.05",,,https://a73.koreanz.xyz/bbs/board.php?bo_table=tvdrama&wr_id=17457&page=4
41,,"""순정복서.5회.230904
M 최고관리자 1023 09.05",,,https://a73.koreanz.xyz/bbs/board.php?bo_table=tvdrama&wr_id=17456&page=4
42,,"""소용없어 거짓말.11회.230904
M 최고관리자 1837 09.05",,,https://a73.koreanz.xyz/bbs/board.php?bo_table=tvdrama&wr_id=17455&page=4
